


                            Event listing (summary)

    I  particle/jet KS     KF orig    p_x      p_y      p_z       E        m

    1  mu+           1    -13    0    0.948   -1.037   85.231   85.243    0.106
    2  pi-           1   -211    0   -0.215   -0.268    4.435    4.450    0.140
    3  pi-           1   -211    0   -1.268    0.175   28.949   28.977    0.140
    4  pi+           1    211    0   -0.250    0.278    2.726    2.755    0.140
    5  gamma         1     22    0    0.299    0.375    7.422    7.437    0.000
    6  n0            1   2112    0   -0.188    0.128    2.491    2.672    0.940
    7  pi+           1    211    0    0.090    0.247    0.546    0.621    0.140
    8  pi-           1   -211    0   -0.013   -0.315    1.362    1.405    0.140
    9  pi+           1    211    0    0.173    0.039    0.995    1.020    0.140
   10  n0            1   2112    0    0.276   -0.092    2.994    3.151    0.940
   11  pi+           1    211    0   -0.148    0.028    0.440    0.485    0.140
   12  gamma         1     22    0   -0.011   -0.053    1.060    1.061    0.000
   13  gamma         1     22    0   -0.058    0.730    1.868    2.006    0.000
   14  gamma         1     22    0    0.004   -0.003    0.003    0.006    0.000
   15  gamma         1     22    0    0.581   -0.101    7.057    7.082    0.000
   16  gamma         1     22    0    0.325   -0.143    3.582    3.600    0.000
   17  gamma         1     22    0    0.024    0.029    0.232    0.235    0.000
   18  gamma         1     22    0   -0.101    0.110    0.270    0.309    0.000
   19  n~0           1  -2112    0   -0.445   -0.040    8.158    8.224    0.940
   20  gamma         1     22    0   -0.075   -0.064    0.328    0.343    0.000
   21  gamma         1     22    0    0.043   -0.016    0.423    0.425    0.000
                   sum:  2.00        -0.007    0.007  160.570  161.508   17.381
   1
  0.26450472E-01  0.46723218E+00  0.37106382E+01
